src_global,dst_global,src_type,dst_type,edge_type,weight
8,14,device,device,flow,-0.8072062621141625
14,8,device,device,flow,-0.8072062621141625
8,25,device,device,flow,0.8858680209892048
25,8,device,device,flow,0.8858680209892048
8,35,device,device,flow,0.7794476771081129
35,8,device,device,flow,0.7794476771081129
8,41,device,device,flow,0.816733559186341
41,8,device,device,flow,0.816733559186341
10,13,device,device,flow,-0.8978459257450208
13,10,device,device,flow,-0.8978459257450208
10,14,device,device,flow,0.9174846276217405
14,10,device,device,flow,0.9174846276217405
10,15,device,device,flow,0.9635200760068555
15,10,device,device,flow,0.9635200760068555
10,16,device,device,flow,0.9692307692307695
16,10,device,device,flow,0.9692307692307695
10,19,device,device,flow,1.0
19,10,device,device,flow,1.0
10,21,device,device,flow,1.0
21,10,device,device,flow,1.0
13,14,device,device,flow,-0.953417483277493
14,13,device,device,flow,-0.953417483277493
13,15,device,device,flow,-0.9281913267626966
15,13,device,device,flow,-0.9281913267626966
13,16,device,device,flow,-0.8126345789120554
16,13,device,device,flow,-0.8126345789120554
13,19,device,device,flow,-0.8978459257450208
19,13,device,device,flow,-0.8978459257450208
13,21,device,device,flow,-0.8978459257450208
21,13,device,device,flow,-0.8978459257450208
14,15,device,device,flow,0.9516332844671271
15,14,device,device,flow,0.9516332844671271
14,16,device,device,flow,0.8277496963618727
16,14,device,device,flow,0.8277496963618727
14,19,device,device,flow,0.9174846276217408
19,14,device,device,flow,0.9174846276217408
14,21,device,device,flow,0.9174846276217408
21,14,device,device,flow,0.9174846276217408
15,16,device,device,flow,0.868004724763701
16,15,device,device,flow,0.868004724763701
15,19,device,device,flow,0.9635200760068555
19,15,device,device,flow,0.9635200760068555
15,21,device,device,flow,0.9635200760068555
21,15,device,device,flow,0.9635200760068555
16,19,device,device,flow,0.9692307692307693
19,16,device,device,flow,0.9692307692307693
16,21,device,device,flow,0.9692307692307693
21,16,device,device,flow,0.9692307692307693
19,21,device,device,flow,1.0
21,19,device,device,flow,1.0
23,24,device,device,flow,0.9714804490532299
24,23,device,device,flow,0.9714804490532299
23,27,device,device,flow,0.9314798763483239
27,23,device,device,flow,0.9314798763483239
23,31,device,device,flow,0.9580261162107782
31,23,device,device,flow,0.9580261162107782
24,27,device,device,flow,0.8801096906226473
27,24,device,device,flow,0.8801096906226473
24,31,device,device,flow,0.9760494616474936
31,24,device,device,flow,0.9760494616474936
25,35,device,device,flow,0.7708584497399045
35,25,device,device,flow,0.7708584497399045
25,41,device,device,flow,0.8077867254796987
41,25,device,device,flow,0.8077867254796987
26,56,device,device,flow,0.776435305284134
56,26,device,device,flow,0.776435305284134
27,31,device,device,flow,0.9300921696154251
31,27,device,device,flow,0.9300921696154251
35,41,device,device,flow,0.7534099668183529
41,35,device,device,flow,0.7534099668183529
35,51,device,device,flow,0.7766906184403223
51,35,device,device,flow,0.7766906184403223
35,53,device,device,flow,0.759011656531568
53,35,device,device,flow,0.759011656531568
51,53,device,device,flow,0.9787665337729463
53,51,device,device,flow,0.9787665337729463
