src_global,dst_global,src_type,dst_type,edge_type,weight
7,9,device,device,flow,0.9546777543377871
9,7,device,device,flow,0.9546777543377871
7,25,device,device,flow,0.7599214184854977
25,7,device,device,flow,0.7599214184854977
7,35,device,device,flow,0.7757449390016894
35,7,device,device,flow,0.7757449390016894
7,51,device,device,flow,0.7601552318514592
51,7,device,device,flow,0.7601552318514592
7,53,device,device,flow,0.7597619028395382
53,7,device,device,flow,0.7597619028395382
8,33,device,device,flow,-0.9300738161368416
33,8,device,device,flow,-0.9300738161368416
8,35,device,device,flow,-0.8619458442755948
35,8,device,device,flow,-0.8619458442755948
8,42,device,device,flow,-0.9374052151327246
42,8,device,device,flow,-0.9374052151327246
9,35,device,device,flow,0.7767646031044133
35,9,device,device,flow,0.7767646031044133
10,13,device,device,flow,-0.9747116781395858
13,10,device,device,flow,-0.9747116781395858
10,14,device,device,flow,0.938839904915362
14,10,device,device,flow,0.938839904915362
10,15,device,device,flow,0.9926417993537063
15,10,device,device,flow,0.9926417993537063
10,16,device,device,flow,0.9851829422642723
16,10,device,device,flow,0.9851829422642723
10,19,device,device,flow,0.9920337292203002
19,10,device,device,flow,0.9920337292203002
10,21,device,device,flow,0.9920337292203002
21,10,device,device,flow,0.9920337292203002
13,14,device,device,flow,-0.9560132351694105
14,13,device,device,flow,-0.9560132351694105
13,15,device,device,flow,-0.9876404262025259
15,13,device,device,flow,-0.9876404262025259
13,16,device,device,flow,-0.9454807039425133
16,13,device,device,flow,-0.9454807039425133
13,19,device,device,flow,-0.9823225265037302
19,13,device,device,flow,-0.9823225265037302
13,21,device,device,flow,-0.9823225265037302
21,13,device,device,flow,-0.9823225265037302
14,15,device,device,flow,0.9483655963368135
15,14,device,device,flow,0.9483655963368135
14,16,device,device,flow,0.9098707422504777
16,14,device,device,flow,0.9098707422504777
14,19,device,device,flow,0.9427730964199957
19,14,device,device,flow,0.9427730964199957
14,21,device,device,flow,0.9427730964199957
21,14,device,device,flow,0.9427730964199957
15,16,device,device,flow,0.9655143663449329
16,15,device,device,flow,0.9655143663449329
15,19,device,device,flow,0.9927548969840322
19,15,device,device,flow,0.9927548969840322
15,21,device,device,flow,0.9927548969840322
21,15,device,device,flow,0.9927548969840322
16,19,device,device,flow,0.9773347081786546
19,16,device,device,flow,0.9773347081786546
16,21,device,device,flow,0.9773347081786546
21,16,device,device,flow,0.9773347081786546
19,21,device,device,flow,1.0
21,19,device,device,flow,1.0
23,24,device,device,flow,0.9872665449020558
24,23,device,device,flow,0.9872665449020558
23,27,device,device,flow,0.9718209204211933
27,23,device,device,flow,0.9718209204211933
23,31,device,device,flow,0.9762785754803444
31,23,device,device,flow,0.9762785754803444
24,27,device,device,flow,0.9329626306746531
27,24,device,device,flow,0.9329626306746531
24,31,device,device,flow,0.9892086907529691
31,24,device,device,flow,0.9892086907529691
25,43,device,device,flow,0.752768512632712
43,25,device,device,flow,0.752768512632712
27,31,device,device,flow,0.921290711126701
31,27,device,device,flow,0.921290711126701
33,35,device,device,flow,0.9269612460817133
35,33,device,device,flow,0.9269612460817133
33,42,device,device,flow,0.981271631483265
42,33,device,device,flow,0.981271631483265
35,42,device,device,flow,0.9437442919018618
42,35,device,device,flow,0.9437442919018618
35,51,device,device,flow,0.7677340982532403
51,35,device,device,flow,0.7677340982532403
35,53,device,device,flow,0.7812853722276113
53,35,device,device,flow,0.7812853722276113
43,51,device,device,flow,0.8110654945681269
51,43,device,device,flow,0.8110654945681269
43,53,device,device,flow,0.8128944171618874
53,43,device,device,flow,0.8128944171618874
51,53,device,device,flow,0.9897715015157565
53,51,device,device,flow,0.9897715015157565
