0,0
0,1
0,2
0,3
0,4
0,5
0,6
1,0
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
2,0
2,1
2,2
2,3
2,4
2,5
2,6
2,11
2,12
2,13
2,14
2,15
2,16
2,17
3,0
3,1
3,2
3,3
3,4
3,5
3,6
3,18
3,19
3,20
3,21
3,22
3,23
3,24
3,25
4,0
4,1
4,2
4,3
4,4
4,5
4,6
4,26
4,27
4,28
4,29
5,0
5,1
5,2
5,3
5,4
5,5
5,6
5,30
5,31
5,32
5,33
5,34
5,35
5,36
5,37
5,38
5,39
6,0
6,1
6,2
6,3
6,4
6,5
6,6
6,40
6,41
7,1
7,7
7,8
7,9
7,10
7,14
8,1
8,7
8,8
8,9
8,10
9,1
9,7
9,8
9,9
9,10
10,1
10,7
10,8
10,9
10,10
10,14
11,2
11,11
12,2
12,12
13,2
13,13
13,14
13,15
13,16
13,17
14,2
14,7
14,10
14,13
14,14
14,15
14,16
14,17
14,19
15,2
15,13
15,14
15,15
15,16
15,17
15,20
16,2
16,13
16,14
16,15
16,16
16,17
17,2
17,13
17,14
17,15
17,16
17,17
18,3
18,18
18,19
18,20
18,21
18,22
18,23
18,24
18,25
19,3
19,14
19,18
19,19
19,20
19,21
19,22
19,23
19,24
19,25
19,28
20,3
20,15
20,18
20,19
20,20
20,21
20,22
20,23
20,24
20,25
21,3
21,18
21,19
21,20
21,21
21,22
21,23
21,24
21,25
22,3
22,18
22,19
22,20
22,21
22,22
22,23
22,24
22,25
23,3
23,18
23,19
23,20
23,21
23,22
23,23
23,24
23,25
24,3
24,18
24,19
24,20
24,21
24,22
24,23
24,24
24,25
25,3
25,18
25,19
25,20
25,21
25,22
25,23
25,24
25,25
26,4
26,26
27,4
27,27
27,28
28,4
28,19
28,27
28,28
28,29
28,33
28,34
28,35
28,36
29,4
29,28
29,29
30,5
30,30
31,5
31,31
32,5
32,32
33,5
33,28
33,33
33,34
33,35
33,36
33,40
34,5
34,28
34,33
34,34
34,35
34,36
34,38
34,40
35,5
35,28
35,33
35,34
35,35
35,36
35,39
35,40
36,5
36,28
36,33
36,34
36,35
36,36
36,40
37,5
38,5
38,34
38,38
39,5
39,35
39,39
40,6
40,33
40,34
40,35
40,36
40,40
40,41
41,6
41,40
41,41
